grid.nam,latitude,longitude,elevation,all_flower_mid,all_fruit_mid,development_time,development_time_herb,development_time_WD,flower_herb_mid,flower_WD_mid,fruit_herb_mid,fruiting_WD_mid,all_flower_var,flower_herb_var,flower_WD_var,all_fruit_var,fruit_herb_var,fruit_WD_var,MAT,TCQ,MAP,PDM,TS,PS,accu_2019
146,52.92,121.07,669.348,195.15,219.38,24.3,20.3,59.2,198.9,155.2,219.7,216.2,0.17,0.16,0.12,0.16,0.16,0.22,267.79931,245.6861,453.263,3.74467,163.987,101.114,1808.428598
147,52.77,122.48,663.878,194.64,219.3,24.7,20.8,59.4,198.3,154.7,219.7,215.8,0.17,0.16,0.11,0.16,0.15,0.23,267.92567,245.5361,473.414,3.5639,166.219,99.75,1737.493417
148,52.6,123.89,610.191,195.08,220.39,25.9,21.6,56.6,199.4,157.6,220.9,216.2,0.17,0.15,0.12,0.15,0.14,0.23,268.39858,246.2704,493.943,3.96774,164.561,98.7246,1826.881573
149,52.42,125.29,400.878,195.17,220.4,25.9,21.6,57.7,199.2,158.8,220.6,218.6,0.17,0.15,0.12,0.15,0.14,0.21,269.72209,247.3049,497.413,4.07544,165.689,96.479,2012.185707
199,52.01,120.84,733.122,195.05,219.71,24.6,20.4,60.2,198.8,155.3,220,217.2,0.17,0.16,0.11,0.16,0.15,0.22,267.937,245.8841,463.251,3.91473,162.235,103.668,1781.501478
200,51.86,122.23,902.457,194.83,219.87,24.9,21.1,58.7,198.3,156.3,220.2,217,0.17,0.16,0.12,0.16,0.15,0.23,267.06401,245.083,504.978,4.00788,162.357,102.506,1608.00801
201,51.69,123.62,814.854,195.69,221.03,25.3,21.4,59.6,199.1,158.3,221.1,220.2,0.17,0.16,0.12,0.15,0.15,0.22,267.74022,245.8311,525.648,4.01133,161.883,101.78,1578.278118
202,51.51,125.01,567.34,195.66,221.31,25.7,21.9,58.5,199.2,158.5,221.5,219.1,0.17,0.16,0.12,0.15,0.15,0.21,269.38927,247.2353,514.736,3.8988,162.891,100.307,1890.635192
203,51.32,126.38,333.622,193.19,218.92,25.7,20.7,60.5,197.5,156.8,218.9,219.1,0.18,0.16,0.13,0.17,0.17,0.23,270.8955,248.501,501.001,3.05169,163.82,98.9651,2201.341125
252,51.1,120.62,844.404,196.05,219.62,24.3,21,53.8,199.7,152.3,220.8,208.2,0.17,0.15,0.11,0.16,0.15,0.22,268.15899,246.2772,465.362,3.92053,160.007,106.133,1786.621433
253,50.95,121.99,929.717,197.15,220.37,24,20.7,57.6,200.3,155.3,220.8,215.6,0.17,0.15,0.13,0.15,0.14,0.23,267.37593,245.7598,502.842,4.01732,158.887,105.572,1716.201855
254,50.79,123.37,702.222,195.66,221.31,25.7,21.9,58.5,199.2,158.5,221.5,219.1,0.17,0.16,0.12,0.15,0.15,0.21,269.05334,247.4702,511.789,3.96317,158.49,105.802,1797.6621
255,50.61,124.73,467.909,193.37,219.54,25.7,20.7,62,197.4,158,219.2,222.5,0.18,0.17,0.14,0.18,0.17,0.25,270.6994,248.8315,504.435,3.39545,159.811,104.471,2118.592218
256,50.43,126.09,448.979,192.75,218.67,26.2,21.3,60.3,197,155.8,218.7,218.2,0.18,0.17,0.15,0.18,0.17,0.26,271.14169,249.3498,525.542,3.21463,159.075,101.921,2160.25493
257,50.23,127.44,225.067,188.63,215.83,27.3,21.6,60.6,193.5,155.9,215.5,218.3,0.19,0.18,0.15,0.2,0.19,0.26,272.496501,251.1557,544.639,3.68242,155.999,99.6497,2427.576639
305,50.2,120.4,752.422,198,220.84,23.6,20.5,56.5,201.1,155.2,221.4,214.2,0.17,0.15,0.12,0.15,0.14,0.24,269.87278,248.2508,428.855,3.8168,157.844,108.655,1777.142607
306,50.05,121.76,893.568,197.98,221.39,23.7,20.4,57.8,201.1,156.4,221.7,217.3,0.17,0.15,0.14,0.15,0.14,0.24,268.72829,247.899,490.512,4.00963,153.115,108.692,1674.25612
307,49.89,123.11,631.326,196.96,220.15,24.1,21,57,200.1,154.4,220.6,214.6,0.17,0.15,0.14,0.15,0.14,0.25,270.42595,249.5646,508.365,3.68765,152.931,109.858,1977.071452
308,49.72,124.46,366.652,193.7,219.79,25.6,20.6,62,197.7,158,219.5,222.5,0.18,0.17,0.14,0.18,0.17,0.25,272.0603,250.565,499.845,3.0435,156.39,108.706,2250.748642
309,49.54,125.8,377.178,193.36,219.07,25.8,21.1,60.3,197.6,155.8,219.2,218.2,0.19,0.17,0.15,0.18,0.17,0.26,272.30135,250.746,515.851,3.13652,156.615,105.406,2302.368208
310,49.34,127.13,359.182,190.55,217.17,27.2,21.9,60.1,195.1,157.3,216.9,219.3,0.2,0.18,0.16,0.2,0.19,0.26,272.177666,251.0917,565.343,3.99033,153.672,101.121,2317.842816
311,49.13,128.45,284.068,188.79,216.96,26.8,20.4,63.4,193.7,158,215.9,223.4,0.21,0.19,0.14,0.21,0.21,0.24,272.604561,251.0006,618.416,5.02574,156.661,96.942,2515.662674
312,48.92,129.77,243.114,190.2,219.13,30,24.2,65.2,195.4,151.2,219.1,219.3,0.2,0.18,0.16,0.2,0.18,0.28,272.499357,250.3637,636.739,5.79505,159.667,93.9048,2469.056848
315,48.19,133.66,53.4318,194.71,222.08,26.8,23.5,80.3,197.5,141.7,221.9,226.4,0.2,0.19,0.13,0.19,0.18,0.37,274.97818,253.9544,637.964,8.21146,151.479,80.5526,2991.317599
356,49.55,117.49,686.372,200.87,221.63,19.4,18.3,42.2,201.7,174,221.7,220.2,0.19,0.18,0.3,0.15,0.14,0.32,271.9554,250.344,303.747,1.47564,160.648,120.567,1980.43173
357,49.43,118.84,626.333,201.32,223.39,20.7,18.7,62.4,202.8,156.5,223.3,227,0.18,0.16,0.25,0.14,0.13,0.28,271.87254,249.8566,338.143,2.59816,161.288,114.658,1925.548649
358,49.3,120.19,720.933,197.37,219.72,23.2,20.3,55.8,200.2,156.8,220,215.7,0.17,0.16,0.14,0.15,0.15,0.24,271.46302,250.24,395.808,3.49761,155.107,109.278,1860.462895
359,49.15,121.53,863.822,196.92,219.92,23.9,20.8,57.9,200,154.3,220.3,215.5,0.17,0.16,0.14,0.15,0.14,0.25,270.59569,251.0255,483.814,3.89554,144.72,110.879,1811.418085
