grid.nam,latitude,longitude,elevation,all_flower_mid,all_fruit_mid,development_time,development_time_herb,development_time_WD,flower_herb_mid,flower_WD_mid,fruit_herb_mid,fruiting_WD_mid,all_flower_var,flower_herb_var,flower_WD_var,all_fruit_var,fruit_herb_var,fruit_WD_var,all_flower_range,flower_herb_range,flower_WD_range,all_fruit_range,fruit_herb_range,fruit_WD_range,annual_flower_mid,perennial_flower_mid,annual_fruit_mid,perennial_frui_mid,Area,MAT,TCQ,PET,MAP,PDM,TS,PS,daylength
146,52.92,121.07,669.348,195.15,219.38,24.3,20.3,59.2,198.9,155.2,219.7,216.2,0.17,0.16,0.12,0.16,0.16,0.22,94.6,97.9,60.5,95,98.3,66.5,206.5,197.9,225.2,218.9,8226,267.79931,245.6861,283.294,453.263,3.74467,163.987,101.114,16.66
147,52.77,122.48,663.878,194.64,219.3,24.7,20.8,59.4,198.3,154.7,219.7,215.8,0.17,0.16,0.11,0.16,0.15,0.23,93.5,96.6,61.1,93.8,97,65.6,205,197.4,224.9,218.9,10000,267.92567,245.5361,287.849,473.414,3.5639,166.219,99.75,16.63
148,52.6,123.89,610.191,195.08,220.39,25.9,21.6,56.6,199.4,157.6,220.9,216.2,0.17,0.15,0.12,0.15,0.14,0.23,94.7,98.6,61.7,94.6,98.3,67,203.8,198.7,222.2,220.7,10000,268.39858,246.2704,297.437,493.943,3.96774,164.561,98.7246,16.6
149,52.42,125.29,400.878,195.17,220.4,25.9,21.6,57.7,199.2,158.8,220.6,218.6,0.17,0.15,0.12,0.15,0.14,0.21,95.1,98.8,62.3,95.1,98.7,67.9,203,198.7,220.9,220.6,9847,269.72209,247.3049,335.734,497.413,4.07544,165.689,96.479,16.56
199,52.01,120.84,733.122,195.05,219.71,24.6,20.4,60.2,198.8,155.3,220,217.2,0.17,0.16,0.11,0.16,0.15,0.22,94.1,97.2,62.2,94.3,97.6,66.3,205.8,197.8,224.7,219.3,6990,267.937,245.8841,283.79,463.251,3.91473,162.235,103.668,16.49
200,51.86,122.23,902.457,194.83,219.87,24.9,21.1,58.7,198.3,156.3,220.2,217,0.17,0.16,0.12,0.16,0.15,0.23,93.6,96.6,61.1,94.2,97.5,64.9,205.2,197.4,225.6,219.4,10000,267.06401,245.083,257.947,504.978,4.00788,162.357,102.506,16.46
201,51.69,123.62,814.854,195.69,221.03,25.3,21.4,59.6,199.1,158.3,221.1,220.2,0.17,0.16,0.12,0.15,0.15,0.22,94.8,97.9,62.2,95.1,98.5,65.1,207.5,198,226,220.4,10000,267.74022,245.8311,273.134,525.648,4.01133,161.883,101.78,16.43
202,51.51,125.01,567.34,195.66,221.31,25.7,21.9,58.5,199.2,158.5,221.5,219.1,0.17,0.16,0.12,0.15,0.15,0.21,95.6,99,61.1,95.6,99.1,65.2,208.2,197.9,226.8,220.7,10000,269.38927,247.2353,319.213,514.736,3.8988,162.891,100.307,16.4
203,51.32,126.38,333.622,193.19,218.92,25.7,20.7,60.5,197.5,156.8,218.9,219.1,0.18,0.16,0.13,0.17,0.17,0.23,93.8,98.1,58.7,94.2,98.3,65.2,206.8,196.1,225.3,217.9,8519,270.8955,248.501,366.401,501.001,3.05169,163.82,98.9651,16.36
252,51.1,120.62,844.404,196.05,219.62,24.3,21,53.8,199.7,152.3,220.8,208.2,0.17,0.15,0.11,0.16,0.15,0.22,90.3,93,60.2,90.2,92.9,65.4,203,199.3,224.7,220.2,9974,268.15899,246.2772,285.447,465.362,3.92053,160.007,106.133,16.32
